,Cluster 0 Prediction,Cluster 1 Prediction,Cluster 2 Prediction,True
Microbe 0,0.0,0.0,1.0,2
Microbe 1,0.0,1.0,0.0,2
Microbe 2,1.0,0.0,0.0,2
Microbe 3,1.0,0.0,0.0,2
Microbe 4,0.0,1.0,0.0,1
Microbe 5,0.0,0.0,1.0,2
Microbe 6,0.0,0.0,1.0,2
Microbe 7,0.0,0.0,1.0,1
Microbe 8,0.996,0.002,0.002,1
Microbe 9,0.0,1.0,0.0,2
Microbe 10,1.0,0.0,0.0,0
Microbe 11,0.0,1.0,0.0,0
Microbe 12,0.0,1.0,0.0,0
Microbe 13,0.0,1.0,0.0,2
Microbe 14,0.0,1.0,0.0,2
Microbe 15,1.0,0.0,0.0,1
Microbe 16,0.0,1.0,0.0,0
Microbe 17,1.0,0.0,0.0,1
Microbe 18,0.0,0.0,1.0,2
Microbe 19,0.994,0.001,0.005,1
Microbe 20,0.965,0.011,0.024,1
Microbe 21,1.0,0.0,0.0,2
