,Cluster 0 Prediction,Cluster 1 Prediction,Cluster 2 Prediction,True
Microbe 0,0.14,0.316,0.544,1
Microbe 1,0.852,0.12,0.028,2
Microbe 2,0.565,0.435,0.0,0
Microbe 3,0.977,0.023,0.0,2
Microbe 4,0.877,0.123,0.0,2
Microbe 5,0.943,0.046,0.012,2
Microbe 6,0.963,0.031,0.006,2
Microbe 7,1.0,0.0,0.0,2
Microbe 8,0.934,0.066,0.0,2
Microbe 9,0.924,0.074,0.002,2
Microbe 10,0.632,0.307,0.061,0
Microbe 11,0.616,0.364,0.02,0
Microbe 12,0.597,0.403,0.0,0
Microbe 13,0.621,0.191,0.188,1
Microbe 14,0.91,0.087,0.002,2
Microbe 15,0.339,0.158,0.503,1
Microbe 16,0.564,0.436,0.0,0
Microbe 17,0.503,0.169,0.328,1
Microbe 18,0.0,0.0,1.0,2
Microbe 19,0.589,0.005,0.406,1
Microbe 20,0.456,0.143,0.401,1
Microbe 21,0.388,0.132,0.48,1
