,Cluster 0 Prediction,Cluster 1 Prediction,Cluster 2 Prediction,True
Microbe 0,0.812,0.0,0.188,1
Microbe 1,0.0,1.0,0.0,2
Microbe 2,0.0,0.721,0.279,0
Microbe 3,0.0,0.958,0.042,2
Microbe 4,0.0,0.961,0.039,2
Microbe 5,0.0,0.924,0.076,2
Microbe 6,0.0,0.942,0.058,2
Microbe 7,0.0,0.942,0.057,2
Microbe 8,0.0,1.0,0.0,2
Microbe 9,0.075,0.87,0.055,2
Microbe 10,0.0,0.697,0.303,0
Microbe 11,0.0,1.0,0.0,0
Microbe 12,0.0,0.687,0.313,0
Microbe 13,0.779,0.0,0.22,1
Microbe 14,1.0,0.0,0.0,2
Microbe 15,0.735,0.022,0.243,1
Microbe 16,0.0,0.734,0.266,0
Microbe 17,0.783,0.035,0.182,1
Microbe 18,0.005,0.922,0.073,2
Microbe 19,0.781,0.001,0.219,1
Microbe 20,0.797,0.0,0.203,1
Microbe 21,0.784,0.0,0.216,1
