,Cluster 0 Prediction,Cluster 1 Prediction,True
Microbe 0,0.0,1.0,1
Microbe 1,0.021,0.979,0
Microbe 2,0.0,1.0,0
Microbe 3,0.233,0.767,1
Microbe 4,0.143,0.857,1
Microbe 5,1.0,0.0,0
Microbe 6,0.0,1.0,0
Microbe 7,0.004,0.996,1
Microbe 8,0.0,1.0,1
Microbe 9,0.218,0.782,1
Microbe 10,0.019,0.981,0
Microbe 11,0.018,0.982,0
Microbe 12,0.0,1.0,0
Microbe 13,0.324,0.676,1
Microbe 14,0.232,0.768,1
Microbe 15,0.167,0.833,1
Microbe 16,1.0,0.0,0
Microbe 17,0.079,0.921,1
Microbe 18,0.206,0.794,0
Microbe 19,0.263,0.737,1
Microbe 20,0.011,0.989,1
Microbe 21,1.0,0.0,1
