,Cluster 0 Prediction,Cluster 1 Prediction,Cluster 2 Prediction,True
Microbe 0,0.594,0.177,0.229,1
Microbe 1,0.538,0.462,0.0,0
Microbe 2,0.616,0.384,0.0,0
Microbe 3,0.636,0.104,0.26,1
Microbe 4,0.852,0.148,0.0,2
Microbe 5,0.482,0.518,0.0,0
Microbe 6,0.857,0.142,0.0,2
Microbe 7,0.855,0.019,0.126,1
Microbe 8,0.64,0.152,0.208,1
Microbe 9,0.745,0.163,0.091,1
Microbe 10,0.495,0.505,0.0,0
Microbe 11,0.564,0.436,0.001,0
Microbe 12,0.516,0.484,0.0,0
Microbe 13,0.89,0.11,0.0,1
Microbe 14,0.587,0.172,0.241,1
Microbe 15,0.827,0.14,0.033,1
Microbe 16,0.562,0.438,0.0,0
Microbe 17,0.766,0.125,0.109,1
Microbe 18,0.0,0.0,1.0,0
Microbe 19,0.741,0.0,0.259,1
Microbe 20,0.71,0.135,0.156,1
Microbe 21,0.881,0.103,0.016,1
