,Cluster 0 Prediction,Cluster 1 Prediction,Cluster 2 Prediction,True
Microbe 0,0.631,0.059,0.311,1
Microbe 1,0.0,1.0,0.0,0
Microbe 2,0.0,0.643,0.357,0
Microbe 3,0.0,0.899,0.101,1
Microbe 4,0.0,1.0,0.0,2
Microbe 5,0.0,0.563,0.437,0
Microbe 6,0.0,0.927,0.073,2
Microbe 7,0.449,0.273,0.278,1
Microbe 8,0.4,0.395,0.205,1
Microbe 9,0.569,0.158,0.273,1
Microbe 10,0.0,0.639,0.361,0
Microbe 11,0.0,0.991,0.009,0
Microbe 12,0.0,0.711,0.289,0
Microbe 13,0.628,0.048,0.324,1
Microbe 14,1.0,0.0,0.0,1
Microbe 15,0.618,0.143,0.239,1
Microbe 16,0.0,0.427,0.573,0
Microbe 17,0.44,0.244,0.316,1
Microbe 18,0.0,0.61,0.39,0
Microbe 19,0.531,0.11,0.359,1
Microbe 20,0.456,0.239,0.305,1
Microbe 21,0.422,0.303,0.275,1
