,Cluster 0 Prediction,Cluster 1 Prediction,True
Microbe 0,0.0,1.0,1
Microbe 1,1.0,0.0,0
Microbe 2,0.0,1.0,0
Microbe 3,0.027,0.973,1
Microbe 4,0.01,0.99,1
Microbe 5,1.0,0.0,0
Microbe 6,0.0,1.0,0
Microbe 7,0.0,1.0,1
Microbe 8,0.0,1.0,1
Microbe 9,0.021,0.979,1
Microbe 10,1.0,0.0,0
Microbe 11,1.0,0.0,0
Microbe 12,0.0,1.0,0
Microbe 13,0.0,1.0,1
Microbe 14,0.039,0.961,1
Microbe 15,0.015,0.985,1
Microbe 16,1.0,0.0,0
Microbe 17,0.031,0.969,1
Microbe 18,1.0,0.0,0
Microbe 19,0.047,0.953,1
Microbe 20,0.002,0.998,1
Microbe 21,1.0,0.0,1
