,Cluster 0 Prediction,Cluster 1 Prediction,True
Metabolite 0,0.0,1.0,0
Metabolite 1,0.0,1.0,0
Metabolite 2,1.0,0.0,0
Metabolite 3,1.0,0.0,1
Metabolite 4,0.0,1.0,0
Metabolite 5,0.0,1.0,0
Metabolite 6,0.0,1.0,0
Metabolite 7,0.0,1.0,0
Metabolite 8,0.0,1.0,0
Metabolite 9,0.0,1.0,0
Metabolite 10,1.0,0.0,1
Metabolite 11,0.0,1.0,0
Metabolite 12,0.0,1.0,0
Metabolite 13,0.0,1.0,0
Metabolite 14,1.0,0.0,1
Metabolite 15,1.0,0.0,1
Metabolite 16,1.0,0.0,1
Metabolite 17,1.0,0.0,1
Metabolite 18,1.0,0.0,1
Metabolite 19,0.0,1.0,0
