,Cluster 0 Prediction,Cluster 1 Prediction,True
Microbe 0,0.443,0.557,1
Microbe 1,0.0,1.0,0
Microbe 2,0.0,1.0,0
Microbe 3,0.295,0.705,1
Microbe 4,0.448,0.552,1
Microbe 5,0.0,1.0,0
Microbe 6,0.0,1.0,0
Microbe 7,0.306,0.694,1
Microbe 8,0.389,0.611,1
Microbe 9,0.435,0.565,1
Microbe 10,0.0,1.0,0
Microbe 11,0.0,1.0,0
Microbe 12,0.0,1.0,0
Microbe 13,0.131,0.869,1
Microbe 14,0.275,0.725,1
Microbe 15,0.282,0.718,1
Microbe 16,0.0,1.0,0
Microbe 17,0.265,0.735,1
Microbe 18,0.0,1.0,0
Microbe 19,0.423,0.577,1
Microbe 20,1.0,0.0,1
Microbe 21,0.378,0.622,1
