,Cluster 0 Prediction,Cluster 1 Prediction,Cluster 2 Prediction,True
Microbe 0,0.951,0.049,0.0,2
Microbe 1,0.962,0.036,0.002,2
Microbe 2,0.684,0.316,0.0,0
Microbe 3,0.469,0.113,0.418,1
Microbe 4,0.699,0.157,0.144,1
Microbe 5,0.957,0.042,0.001,2
Microbe 6,0.93,0.07,0.0,2
Microbe 7,0.575,0.038,0.387,1
Microbe 8,0.467,0.14,0.393,1
Microbe 9,0.972,0.028,0.0,2
Microbe 10,0.615,0.385,0.0,0
Microbe 11,0.662,0.338,0.0,0
Microbe 12,0.695,0.305,0.0,0
Microbe 13,0.95,0.05,0.0,2
Microbe 14,0.533,0.136,0.332,1
Microbe 15,0.545,0.132,0.323,1
Microbe 16,0.652,0.348,0.0,0
Microbe 17,0.536,0.093,0.371,1
Microbe 18,0.0,0.0,1.0,0
Microbe 19,0.696,0.004,0.301,1
Microbe 20,0.954,0.046,0.0,2
Microbe 21,0.475,0.128,0.397,1
