,Cluster 0 Prediction,Cluster 1 Prediction,Cluster 2 Prediction,True
Microbe 0,0.001,0.955,0.044,2
Microbe 1,0.0,1.0,0.0,2
Microbe 2,0.0,0.67,0.33,0
Microbe 3,0.299,0.437,0.264,1
Microbe 4,0.665,0.096,0.239,1
Microbe 5,0.0,0.936,0.064,2
Microbe 6,0.0,0.966,0.034,2
Microbe 7,0.801,0.008,0.192,1
Microbe 8,0.662,0.156,0.182,1
Microbe 9,0.0,0.882,0.118,2
Microbe 10,0.0,0.707,0.293,0
Microbe 11,0.0,1.0,0.0,0
Microbe 12,0.0,0.552,0.448,0
Microbe 13,0.0,0.945,0.055,2
Microbe 14,1.0,0.0,0.0,1
Microbe 15,0.716,0.071,0.213,1
Microbe 16,0.0,0.613,0.386,0
Microbe 17,0.688,0.179,0.134,1
Microbe 18,0.0,0.587,0.413,0
Microbe 19,0.622,0.14,0.239,1
Microbe 20,0.001,0.974,0.025,2
Microbe 21,0.795,0.0,0.205,1
