,Cluster 0 Prediction,Cluster 1 Prediction,Cluster 2 Prediction,True
Microbe 0,0.0,0.0,1.0,1
Microbe 1,0.0,1.0,0.0,2
Microbe 2,1.0,0.0,0.0,0
Microbe 3,1.0,0.0,0.0,2
Microbe 4,0.0,1.0,0.0,2
Microbe 5,0.0,0.0,1.0,2
Microbe 6,0.0,0.0,1.0,2
Microbe 7,0.0,0.0,1.0,2
Microbe 8,1.0,0.0,0.0,2
Microbe 9,0.0,1.0,0.0,2
Microbe 10,1.0,0.0,0.0,0
Microbe 11,0.0,1.0,0.0,0
Microbe 12,0.0,1.0,0.0,0
Microbe 13,0.0,1.0,0.0,1
Microbe 14,0.0,0.0,1.0,2
Microbe 15,1.0,0.0,0.0,1
Microbe 16,0.0,1.0,0.0,0
Microbe 17,1.0,0.0,0.0,1
Microbe 18,0.0,0.0,1.0,2
Microbe 19,0.995,0.001,0.004,1
Microbe 20,0.97,0.008,0.022,1
Microbe 21,1.0,0.0,0.0,1
