Epoch 1001: NMI 1.0, RI 1.0
Epoch 2001: NMI 1.0, RI 1.0
Epoch 3001: NMI 1.0, RI 1.0
Epoch 4001: NMI 1.0, RI 1.0
Epoch 5001: NMI 1.0, RI 1.0
Epoch 6001: NMI 1.0, RI 1.0
Epoch 7001: NMI 1.0, RI 1.0
Epoch 8001: NMI 1.0, RI 1.0
Epoch 9001: NMI 1.0, RI 1.0
Epoch 10001: NMI 1.0, RI 1.0
Epoch 11001: NMI 1.0, RI 1.0
Epoch 12001: NMI 1.0, RI 1.0
Epoch 13001: NMI 1.0, RI 1.0
Epoch 14001: NMI 1.0, RI 1.0
Epoch 15001: NMI 1.0, RI 1.0
Epoch 16001: NMI 1.0, RI 1.0
Epoch 17001: NMI 1.0, RI 1.0
Epoch 18001: NMI 1.0, RI 1.0
Epoch 19001: NMI 1.0, RI 1.0
Epoch 20001: NMI 1.0, RI 1.0
