,Cluster 0 Prediction,Cluster 1 Prediction,Cluster 2 Prediction,True
Microbe 0,0.651,0.075,0.273,1
Microbe 1,0.0,1.0,0.0,0
Microbe 2,0.0,0.545,0.455,0
Microbe 3,0.023,0.712,0.265,1
Microbe 4,0.668,0.067,0.264,1
Microbe 5,0.0,0.856,0.144,2
Microbe 6,0.0,0.931,0.069,2
Microbe 7,0.556,0.146,0.297,1
Microbe 8,0.657,0.057,0.285,1
Microbe 9,0.0,0.922,0.078,2
Microbe 10,0.0,0.437,0.563,0
Microbe 11,0.0,1.0,0.0,0
Microbe 12,0.0,0.575,0.425,0
Microbe 13,0.647,0.074,0.279,1
Microbe 14,1.0,0.0,0.0,1
Microbe 15,0.645,0.12,0.235,1
Microbe 16,0.0,0.51,0.49,0
Microbe 17,0.0,1.0,0.0,2
Microbe 18,0.0,0.723,0.277,0
Microbe 19,0.576,0.128,0.296,1
Microbe 20,0.692,0.0,0.308,1
Microbe 21,0.653,0.064,0.283,1
