,Cluster 0 Prediction,Cluster 1 Prediction,Cluster 2 Prediction,True
Microbe 0,0.513,0.196,0.291,1
Microbe 1,0.516,0.484,0.0,0
Microbe 2,0.599,0.401,0.0,0
Microbe 3,0.487,0.094,0.419,1
Microbe 4,0.928,0.072,0.0,1
Microbe 5,0.878,0.122,0.001,2
Microbe 6,0.893,0.107,0.0,2
Microbe 7,0.809,0.009,0.182,1
Microbe 8,0.596,0.123,0.281,1
Microbe 9,0.918,0.082,0.0,2
Microbe 10,0.494,0.506,0.0,0
Microbe 11,0.716,0.275,0.009,0
Microbe 12,0.675,0.325,0.0,0
Microbe 13,0.954,0.046,0.0,1
Microbe 14,0.481,0.188,0.331,1
Microbe 15,0.633,0.145,0.223,1
Microbe 16,0.571,0.429,0.0,0
Microbe 17,0.91,0.09,0.0,2
Microbe 18,0.0,0.0,1.0,0
Microbe 19,0.787,0.0,0.213,1
Microbe 20,0.59,0.166,0.243,1
Microbe 21,0.848,0.122,0.03,1
